1729883451.6663582 [INFO] [launch]: All log files can be found below /home/ros2_ws/.ros/log/2024-10-25-16-10-51-665151-thallys-327
1729883451.6666214 [INFO] [launch]: Default logging verbosity is set to INFO
1729883452.2243330 [INFO] [robot_state_publisher-1]: process started with pid [329]
1729883452.2246571 [INFO] [ruby $(which ign) gazebo-2]: process started with pid [331]
1729883452.2247958 [INFO] [create-3]: process started with pid [333]
1729883452.2249141 [INFO] [parameter_bridge-4]: process started with pid [336]
1729883452.3295729 [parameter_bridge-4] [INFO] [1729883452.329169077] [ros_gz_bridge]: Creating GZ->ROS Bridge: [/clock (gz.msg.Clock]) -> /clock (rosgraph_msgs/msg/Clock)] (Lazy 0)
1729883452.3300107 [parameter_bridge-4] [WARN] [1729883452.329406785] [ros_gz_bridge]: Failed to create a bridge for topic [/clock] with ROS2 type [rosgraph_msgs/msg/Clock] to topic [/clock] with Gazebo Transport type [gz.msg.Clock]]
1729883453.0734069 [INFO] [create-3]: process has finished cleanly [pid 333]
1729883835.5199177 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883835.5319147 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883836.5169318 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883836.5313210 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883837.5198987 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883837.5308762 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883838.5192790 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883838.5305903 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883839.5208602 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883839.5377092 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883840.5229812 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883840.5342476 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883841.5209818 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883841.5335469 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883842.5213306 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883842.5341587 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883843.5238919 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883843.5341260 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883844.5231869 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883844.5367382 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883845.5278001 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883845.5354242 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883846.5259662 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883846.5353532 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883847.5260115 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883847.5353785 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883848.5242898 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883848.5356667 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883849.5279908 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883849.5383325 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883850.5269735 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883850.5379064 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883851.5270195 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883851.5374887 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883852.5307155 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883852.5357714 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883853.5290465 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883853.5361371 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883854.5295355 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883854.5398958 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883855.5292468 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883855.5390337 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883856.5291276 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883856.5379498 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883857.5296543 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883857.5420904 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883858.5295548 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883858.5383041 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883859.5300040 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883859.5392580 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883860.5295162 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883860.5387805 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883861.5296235 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883861.5409505 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883862.5299821 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883862.5387869 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883863.5322297 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883863.5414827 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883864.5360315 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883864.5404067 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883865.5331776 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883865.5405169 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883866.5330970 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883866.5404868 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883867.5340943 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883867.5408404 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883868.5341008 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883868.5464530 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883869.5344112 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883869.5449359 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883870.5351689 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883870.5451005 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883871.5365300 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883871.5451615 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883872.5368514 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883872.5451219 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883873.5365515 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1729883873.5452349 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
