1730921893.1726284 [INFO] [launch]: All log files can be found below /home/ros2_ws/.ros/log/2024-11-06-16-38-13-171854-thallys-179
1730921893.1727650 [INFO] [launch]: Default logging verbosity is set to INFO
1730921893.7855060 [INFO] [robot_state_publisher-1]: process started with pid [181]
1730921893.7857153 [INFO] [ruby $(which ign) gazebo-2]: process started with pid [183]
1730921893.7858605 [INFO] [create-3]: process started with pid [185]
1730921893.7859774 [INFO] [parameter_bridge-4]: process started with pid [188]
1730921893.9119394 [parameter_bridge-4] [INFO] [1730921893.911566361] [ros_gz_bridge]: Creating GZ->ROS Bridge: [/clock (gz.msg.Clock]) -> /clock (rosgraph_msgs/msg/Clock)] (Lazy 0)
1730921893.9138300 [parameter_bridge-4] [WARN] [1730921893.913611209] [ros_gz_bridge]: Failed to create a bridge for topic [/clock] with ROS2 type [rosgraph_msgs/msg/Clock] to topic [/clock] with Gazebo Transport type [gz.msg.Clock]]
1730921894.6394081 [INFO] [create-3]: process has finished cleanly [pid 185]
1730922400.1644037 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922400.1652644 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922401.1663377 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922401.1699340 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922402.1645796 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922402.1651361 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922403.1650517 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922403.1659262 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922404.1647851 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922404.1654384 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922405.1651733 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922405.1666076 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922406.1647823 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922406.1653712 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922407.1649051 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922407.1658106 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922408.1648340 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922408.1652944 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922409.1649780 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922409.1654198 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922410.1674571 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922410.1697021 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922411.1666071 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922411.1711431 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922412.1671014 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922412.1699016 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922413.1671641 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922413.1679373 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922414.1672041 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922414.1717391 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922415.1673152 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922415.1701212 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922416.1714153 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922416.1725733 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922417.1684642 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922417.1722183 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922418.1688685 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922418.1724796 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922419.1685665 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922419.1722548 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922420.1687415 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922420.1732445 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922421.1688161 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922421.1724865 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922422.1688778 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922422.1725605 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922423.1690154 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922423.1725807 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922424.1703506 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922424.1750789 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922425.1689727 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922425.1735661 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922426.1712840 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922426.1734898 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922427.1713057 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922427.1756747 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922428.1746576 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922428.1757283 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922429.1712549 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922429.1742501 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922430.1716642 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922430.1750207 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922431.1717286 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922431.1764064 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922432.1718647 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922432.1765189 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922433.1716161 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922433.1764376 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922434.1720102 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922434.1771870 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922435.1720109 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922435.1767364 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922436.1722081 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922436.1767061 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922437.1719465 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922437.1767550 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922438.1720741 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922438.1767838 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922439.1722271 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922439.1769214 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922440.1723123 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922440.1767645 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922441.1727254 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922441.1771624 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922442.1727684 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922442.1827691 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922443.1724162 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922443.1769915 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922444.1724308 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922444.1770179 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922445.1726694 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922445.1770163 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
1730922446.1725948 [parameter_bridge-4] Exception sending a multicast message:Network is unreachable
